,name,face_image,mean,minimum,maximum,median,mode
34,Darius Adamczyk,"[[[ 83  97 125]
  [ 79  93 121]
  [ 82  99 126]
  ...
  [157 172 211]
  [156 171 210]
  [155 170 209]]

 [[ 83  97 125]
  [ 78  92 120]
  [ 81  98 125]
  ...
  [163 178 217]
  [157 172 211]
  [162 177 216]]

 [[ 89 101 129]
  [ 83  97 125]
  [ 85  99 127]
  ...
  [157 172 211]
  [151 166 205]
  [163 178 217]]

 ...

 [[ 49  69  94]
  [ 46  66  91]
  [ 48  68  93]
  ...
  [145 157 197]
  [152 164 204]
  [136 149 187]]

 [[ 52  72  97]
  [ 49  69  94]
  [ 48  68  93]
  ...
  [145 158 196]
  [151 164 202]
  [137 151 187]]

 [[ 51  71  96]
  [ 49  69  94]
  [ 47  67  92]
  ...
  [143 156 194]
  [146 159 197]
  [145 159 195]]]",128.20336129489604,3.0,254.0,132.0,169.0
35,Darren Woods,"[[[185 204 239]
  [189 205 241]
  [187 203 239]
  ...
  [ 96 116 157]
  [ 96 116 157]
  [ 98 119 157]]

 [[187 203 239]
  [190 204 240]
  [190 204 240]
  ...
  [ 95 115 156]
  [ 96 116 157]
  [ 99 118 156]]

 [[189 203 239]
  [190 204 240]
  [191 205 241]
  ...
  [ 94 114 155]
  [ 95 116 154]
  [ 97 116 153]]

 ...

 [[179 201 237]
  [182 201 238]
  [182 202 237]
  ...
  [ 93 116 162]
  [ 88 111 157]
  [ 83 106 152]]

 [[177 199 235]
  [180 199 236]
  [180 199 236]
  ...
  [ 91 114 160]
  [ 85 108 154]
  [ 80 103 149]]

 [[171 193 229]
  [173 192 229]
  [175 194 231]
  ...
  [ 87 110 156]
  [ 84 107 153]
  [ 84 107 153]]]",152.29735537190084,19.0,220.0,155.0,191.0
36,Dave Lewis,"[[[108 102 121]
  [108 102 121]
  [108 104 123]
  ...
  [184 172 178]
  [184 176 177]
  [184 176 176]]

 [[108 102 121]
  [109 103 122]
  [109 103 122]
  ...
  [192 180 186]
  [183 175 176]
  [184 176 176]]

 [[109 103 122]
  [109 103 122]
  [108 102 121]
  ...
  [191 179 185]
  [184 176 177]
  [185 177 177]]

 ...

 [[ 98 104 123]
  [ 97 103 122]
  [ 97 102 123]
  ...
  [180 174 175]
  [180 175 176]
  [180 175 176]]

 [[ 98 104 123]
  [ 97 103 122]
  [ 97 102 123]
  ...
  [180 174 175]
  [180 175 176]
  [180 175 176]]

 [[ 98 104 123]
  [ 97 103 122]
  [ 98 103 124]
  ...
  [180 174 175]
  [180 175 176]
  [180 175 176]]]",129.29928823381204,1.0,246.0,127.0,112.0
38,David M,"[[[141 168 219]
  [146 175 226]
  [151 178 229]
  ...
  [156 176 223]
  [154 173 216]
  [154 173 218]]

 [[143 170 221]
  [154 181 232]
  [161 188 238]
  ...
  [154 173 218]
  [155 174 217]
  [155 174 219]]

 [[155 179 231]
  [158 182 234]
  [164 190 237]
  ...
  [159 178 221]
  [151 169 216]
  [149 167 214]]

 ...

 [[128 151 199]
  [137 160 208]
  [153 176 221]
  ...
  [137 158 210]
  [129 152 200]
  [121 141 189]]

 [[132 156 202]
  [139 162 208]
  [141 161 209]
  ...
  [129 153 205]
  [124 145 196]
  [121 141 188]]

 [[130 155 199]
  [135 157 205]
  [142 164 212]
  ...
  [131 153 205]
  [118 139 190]
  [115 136 181]]]",164.3350638113779,1.0,234.0,173.0,184.0
39,David Simon,"[[[115 155 214]
  [115 155 214]
  [116 155 217]
  ...
  [ 98 132 192]
  [100 134 194]
  [ 96 127 188]]

 [[114 154 213]
  [114 154 213]
  [115 154 216]
  ...
  [100 134 194]
  [101 135 195]
  [ 95 126 187]]

 [[110 152 211]
  [108 150 209]
  [110 151 213]
  ...
  [103 137 197]
  [103 137 197]
  [ 98 129 190]]

 ...

 [[ 94 127 177]
  [100 133 183]
  [100 133 183]
  ...
  [ 94 125 178]
  [100 128 182]
  [106 134 188]]

 [[ 99 132 182]
  [102 135 185]
  [101 134 184]
  ...
  [105 136 189]
  [111 139 193]
  [106 134 188]]

 [[ 97 130 180]
  [ 96 129 179]
  [ 96 129 179]
  ...
  [107 138 191]
  [112 140 194]
  [103 131 185]]]",163.12152,1.0,253.0,169.0,181.0
41,Denise Morrison,"[[[ 63 100 168]
  [ 64 101 169]
  [ 66 103 171]
  ...
  [ 80 117 185]
  [ 80 117 185]
  [ 78 115 183]]

 [[ 63 100 168]
  [ 64 101 169]
  [ 66 103 171]
  ...
  [ 85 122 190]
  [ 85 122 190]
  [ 84 121 189]]

 [[ 63 100 168]
  [ 64 101 169]
  [ 66 103 171]
  ...
  [ 92 129 197]
  [ 91 128 196]
  [ 90 127 195]]

 ...

 [[125 166 229]
  [121 162 225]
  [118 159 222]
  ...
  [ 82 116 192]
  [ 82 116 192]
  [ 83 117 193]]

 [[128 167 229]
  [124 163 225]
  [122 161 223]
  ...
  [ 82 116 192]
  [ 82 116 192]
  [ 83 117 193]]

 [[130 169 231]
  [127 166 228]
  [125 164 226]
  ...
  [ 81 115 191]
  [ 82 116 192]
  [ 83 117 193]]]",161.98467453816662,1.0,254.0,173.0,219.0
42,Devin Wenig,"[[[126 147 192]
  [122 146 192]
  [118 144 198]
  ...
  [142 173 228]
  [137 168 223]
  [135 164 221]]

 [[126 147 192]
  [122 145 193]
  [116 142 196]
  ...
  [142 173 228]
  [139 170 225]
  [140 169 226]]

 [[125 146 191]
  [122 145 193]
  [116 142 196]
  ...
  [141 172 227]
  [140 171 226]
  [141 170 227]]

 ...

 [[ 87 107 154]
  [ 97 117 164]
  [ 98 118 165]
  ...
  [121 149 196]
  [118 147 192]
  [120 147 191]]

 [[ 83 101 148]
  [ 97 117 164]
  [ 97 117 164]
  ...
  [115 143 190]
  [115 142 186]
  [119 144 188]]

 [[ 83 101 148]
  [ 88 108 156]
  [ 96 114 161]
  ...
  [116 142 189]
  [116 143 187]
  [120 145 189]]]",156.14051256154525,12.0,217.0,162.0,169.0
43,Diego Della Valle,"[[[102 121 142]
  [106 127 148]
  [106 130 150]
  ...
  [ 52  63  83]
  [ 66  64  76]
  [ 98  93 102]]

 [[101 119 142]
  [104 125 147]
  [ 99 123 143]
  ...
  [ 63  74  96]
  [ 80  81  95]
  [100  96 107]]

 [[110 128 151]
  [113 134 156]
  [100 123 145]
  ...
  [ 67  81 103]
  [ 84  89 104]
  [113 115 126]]

 ...

 [[108 140 169]
  [100 134 163]
  [ 98 132 162]
  ...
  [ 95 116 138]
  [109 133 151]
  [112 138 152]]

 [[104 136 165]
  [102 133 164]
  [103 137 167]
  ...
  [ 96 119 141]
  [107 129 147]
  [110 133 149]]

 [[104 135 166]
  [101 132 163]
  [100 134 164]
  ...
  [107 129 154]
  [105 126 147]
  [106 128 146]]]",123.62396694214875,56.0,164.0,126.0,126.0
45,Dikesh Malhotra,"[[[169 167 159]
  [170 168 160]
  [171 169 161]
  ...
  [168 164 153]
  [162 158 147]
  [158 154 143]]

 [[167 165 157]
  [169 167 159]
  [169 167 159]
  ...
  [167 163 152]
  [162 158 147]
  [158 154 143]]

 [[165 163 155]
  [167 165 157]
  [167 165 157]
  ...
  [167 163 152]
  [161 157 146]
  [157 153 142]]

 ...

 [[164 164 152]
  [165 165 153]
  [166 166 154]
  ...
  [160 156 145]
  [155 151 140]
  [151 147 136]]

 [[163 163 151]
  [164 164 152]
  [164 164 152]
  ...
  [159 155 144]
  [154 150 139]
  [150 146 135]]

 [[161 161 149]
  [163 163 151]
  [163 163 151]
  ...
  [158 154 143]
  [153 149 138]
  [149 145 134]]]",168.70888468809073,142.0,186.0,170.0,165.0
46,Dilip Shanghvi,"[[[144 175 236]
  [142 176 236]
  [142 176 236]
  ...
  [ 45  59  77]
  [ 43  60  81]
  [ 52  69  95]]

 [[143 174 235]
  [141 175 235]
  [142 176 236]
  ...
  [ 44  58  76]
  [ 42  59  80]
  [ 49  66  92]]

 [[143 174 235]
  [141 175 235]
  [141 175 235]
  ...
  [ 43  57  75]
  [ 39  56  77]
  [ 45  62  88]]

 ...

 [[ 92 130 194]
  [ 94 133 195]
  [ 96 135 197]
  ...
  [122 147 167]
  [122 147 167]
  [122 147 167]]

 [[ 88 126 190]
  [ 89 127 191]
  [ 90 128 192]
  ...
  [120 145 165]
  [120 145 165]
  [120 145 165]]

 [[ 85 123 187]
  [ 86 124 188]
  [ 87 126 188]
  ...
  [121 146 166]
  [121 146 166]
  [121 146 166]]]",150.75628472222223,9.0,252.0,155.0,149.0
47,Doug McMillon,"[[[226 207 199]
  [228 209 201]
  [227 206 198]
  ...
  [191 172 164]
  [193 174 166]
  [192 173 165]]

 [[220 199 191]
  [224 203 195]
  [227 208 200]
  ...
  [192 173 165]
  [193 174 166]
  [193 174 166]]

 [[220 199 191]
  [218 197 189]
  [222 201 193]
  ...
  [191 172 164]
  [192 173 165]
  [192 173 165]]

 ...

 [[208 186 175]
  [211 189 178]
  [208 186 175]
  ...
  [209 188 180]
  [211 190 182]
  [205 180 170]]

 [[207 184 176]
  [207 185 174]
  [206 186 175]
  ...
  [209 188 180]
  [211 185 178]
  [201 174 164]]

 [[209 183 176]
  [205 180 170]
  [206 184 173]
  ...
  [207 185 174]
  [204 179 169]
  [199 174 164]]]",127.61905695520048,15.0,228.0,164.0,185.0
48,Doug Parker,"[[[103 126 174]
  [107 130 178]
  [107 130 180]
  ...
  [146 168 220]
  [137 158 210]
  [135 156 208]]

 [[101 123 175]
  [105 127 179]
  [106 128 180]
  ...
  [141 164 214]
  [137 160 210]
  [141 162 213]]

 [[102 123 175]
  [104 125 176]
  [106 128 180]
  ...
  [139 161 213]
  [138 160 212]
  [138 160 212]]

 ...

 [[ 96 112 158]
  [113 129 175]
  [121 137 183]
  ...
  [131 146 202]
  [134 149 205]
  [135 149 207]]

 [[ 90 106 153]
  [113 129 175]
  [125 141 187]
  ...
  [127 144 201]
  [133 149 208]
  [136 152 211]]

 [[ 85 103 144]
  [104 121 164]
  [117 133 180]
  ...
  [132 147 209]
  [130 147 204]
  [133 150 206]]]",154.7990625,7.0,231.0,165.0,178.0
49,Douglas L,"[[[ 97 106 144]
  [ 98 106 146]
  [ 98 106 146]
  ...
  [167 186 229]
  [167 186 231]
  [167 184 233]]

 [[103 112 150]
  [101 109 149]
  [ 96 104 144]
  ...
  [170 189 234]
  [161 178 227]
  [167 187 235]]

 [[103 112 149]
  [102 111 149]
  [ 98 107 145]
  ...
  [160 181 233]
  [144 165 217]
  [165 184 235]]

 ...

 [[ 94 101 140]
  [ 94 101 140]
  [ 95 102 141]
  ...
  [161 180 223]
  [171 190 233]
  [160 179 222]]

 [[ 97 104 143]
  [ 94 101 140]
  [ 95 102 141]
  ...
  [156 175 218]
  [169 188 231]
  [171 190 233]]

 [[ 98 105 144]
  [ 98 105 144]
  [ 99 106 145]
  ...
  [166 186 227]
  [172 192 233]
  [170 190 231]]]",158.76149584927222,6.0,246.0,164.0,191.0
50,Edward D,"[[[114 140 207]
  [116 142 212]
  [118 144 214]
  ...
  [104 129 201]
  [100 125 197]
  [ 96 121 193]]

 [[113 140 207]
  [115 141 211]
  [115 144 213]
  ...
  [105 131 201]
  [101 126 198]
  [ 96 121 193]]

 [[116 145 212]
  [114 143 212]
  [108 139 208]
  ...
  [103 130 197]
  [101 127 197]
  [100 126 196]]

 ...

 [[123 153 224]
  [124 154 225]
  [123 153 224]
  ...
  [110 141 210]
  [108 139 208]
  [104 134 205]]

 [[121 152 221]
  [122 153 222]
  [123 154 223]
  ...
  [112 142 213]
  [108 138 209]
  [101 131 202]]

 [[119 150 219]
  [120 151 220]
  [121 152 221]
  ...
  [114 144 215]
  [110 140 211]
  [102 132 203]]]",148.84778290401127,24.0,234.0,154.0,164.0
51,Elon Musk,"[[[ 93 118 150]
  [ 99 124 156]
  [104 129 161]
  ...
  [210 228 245]
  [208 226 243]
  [208 226 243]]

 [[ 95 121 151]
  [103 129 159]
  [105 130 162]
  ...
  [206 226 244]
  [210 228 245]
  [209 227 244]]

 [[ 97 123 153]
  [105 131 161]
  [107 132 164]
  ...
  [204 224 242]
  [211 228 247]
  [209 227 244]]

 ...

 [[ 70  92 128]
  [ 68  90 126]
  [ 67  89 124]
  ...
  [192 215 237]
  [186 210 234]
  [191 214 236]]

 [[ 67  89 125]
  [ 71  93 129]
  [ 71  93 128]
  ...
  [203 223 241]
  [192 215 237]
  [188 212 234]]

 [[ 66  86 121]
  [ 73  95 131]
  [ 78 100 135]
  ...
  [200 218 235]
  [196 217 239]
  [181 206 232]]]",177.26038781163436,10.0,246.0,188.0,230.0
53,Evan G,"[[[ 59  70 102]
  [ 61  73 107]
  [ 65  77 111]
  ...
  [194 207 233]
  [191 203 231]
  [186 198 226]]

 [[ 59  70 102]
  [ 63  74 106]
  [ 76  87 119]
  ...
  [190 201 228]
  [192 203 230]
  [192 203 230]]

 [[ 66  77 107]
  [ 70  80 110]
  [ 75  85 115]
  ...
  [186 197 224]
  [194 205 232]
  [196 208 232]]

 ...

 [[141 154 192]
  [129 142 180]
  [ 94 107 145]
  ...
  [ 50  49  51]
  [ 51  50  52]
  [ 51  50  52]]

 [[145 158 196]
  [115 128 166]
  [ 76  89 127]
  ...
  [ 49  48  50]
  [ 50  49  51]
  [ 51  50  52]]

 [[148 159 197]
  [101 114 152]
  [ 75  88 126]
  ...
  [ 48  47  49]
  [ 49  48  50]
  [ 50  49  51]]]",137.66622770919068,3.0,235.0,145.0,157.0
54,Evan Greenberg,"[[[ 78  96 127]
  [ 79  96 129]
  [ 76  95 130]
  ...
  [169 183 232]
  [166 180 233]
  [172 186 235]]

 [[ 78  96 127]
  [ 78  95 128]
  [ 72  91 126]
  ...
  [169 183 232]
  [169 183 236]
  [167 181 233]]

 [[ 79  96 123]
  [ 79  95 124]
  [ 69  85 121]
  ...
  [169 183 232]
  [171 184 240]
  [162 176 228]]

 ...

 [[ 83  97 120]
  [ 79  92 118]
  [122 133 163]
  ...
  [143 160 209]
  [129 145 181]
  [123 138 164]]

 [[ 77  88 108]
  [ 67  80 102]
  [126 138 162]
  ...
  [146 162 205]
  [126 140 168]
  [121 133 151]]

 [[ 64  72  85]
  [ 83  92 106]
  [152 165 181]
  ...
  [153 165 199]
  [134 142 159]
  [103 109 116]]]",150.28780864197532,20.0,211.0,158.0,197.0
55,Felipe Gozon,"[[[135 143 190]
  [134 141 190]
  [132 139 188]
  ...
  [155 158 209]
  [157 159 213]
  [158 162 215]]

 [[135 143 190]
  [133 141 188]
  [132 139 188]
  ...
  [153 156 207]
  [158 160 214]
  [161 165 218]]

 [[132 141 185]
  [131 140 184]
  [132 140 187]
  ...
  [161 163 217]
  [160 164 217]
  [158 162 215]]

 ...

 [[139 141 206]
  [139 140 208]
  [136 141 210]
  ...
  [114 128 194]
  [105 119 191]
  [102 115 191]]

 [[139 141 205]
  [138 141 209]
  [139 141 211]
  ...
  [110 126 193]
  [104 118 190]
  [102 115 191]]

 [[137 139 203]
  [136 140 205]
  [141 144 212]
  ...
  [112 126 198]
  [108 121 197]
  [106 119 197]]]",156.50422469553055,42.0,234.0,161.0,171.0
56,Frank Appel,"[[[ 67 114 166]
  [ 71 117 171]
  [ 71 117 171]
  ...
  [ 68 112 171]
  [ 72 116 177]
  [ 74 118 179]]

 [[ 68 115 167]
  [ 73 119 173]
  [ 71 117 171]
  ...
  [ 68 112 171]
  [ 78 122 183]
  [ 75 119 180]]

 [[ 69 116 168]
  [ 64 110 164]
  [ 68 114 168]
  ...
  [ 66 110 169]
  [ 81 125 184]
  [ 74 118 177]]

 ...

 [[  4 173 230]
  [  5 174 231]
  [  5 174 231]
  ...
  [ 41  77 115]
  [ 25  61  99]
  [ 40  76 114]]

 [[  2 171 228]
  [  5 174 231]
  [  5 174 231]
  ...
  [ 39  75 113]
  [ 32  68 106]
  [ 46  82 120]]

 [[  3 172 229]
  [  3 172 229]
  [  3 172 229]
  ...
  [ 44  80 118]
  [ 43  79 117]
  [ 51  87 125]]]",117.3007029478458,2.0,238.0,123.0,132.0
57,Frederick W,"[[[134 162 246]
  [134 161 247]
  [141 167 251]
  ...
  [ 85  98 150]
  [ 82  93 143]
  [ 80  90 138]]

 [[133 161 245]
  [134 161 248]
  [145 171 255]
  ...
  [ 84  98 150]
  [ 81  92 142]
  [ 78  88 136]]

 [[134 164 243]
  [137 166 247]
  [144 171 251]
  ...
  [ 81  95 148]
  [ 78  89 139]
  [ 74  87 133]]

 ...

 [[132 169 243]
  [139 170 239]
  [141 167 234]
  ...
  [ 87  95 148]
  [ 81  86 135]
  [ 77  80 125]]

 [[134 170 246]
  [139 169 240]
  [142 166 238]
  ...
  [ 83  92 142]
  [ 77  81 129]
  [ 70  73 118]]

 [[138 169 248]
  [142 169 243]
  [145 170 242]
  ...
  [ 81  91 138]
  [ 74  79 124]
  [ 67  71 112]]]",142.16604938271604,7.0,237.0,147.0,184.0
58,G,"[[[102 133 178]
  [ 97 128 173]
  [103 132 177]
  ...
  [ 76  94 125]
  [ 74  90 119]
  [ 70  86 115]]

 [[107 139 182]
  [104 135 180]
  [103 132 177]
  ...
  [ 73  91 122]
  [ 76  94 123]
  [ 64  82 113]]

 [[105 136 181]
  [102 133 178]
  [101 131 178]
  ...
  [ 69  86 119]
  [ 68  87 114]
  [ 65  84 111]]

 ...

 [[ 92 118 164]
  [ 91 117 163]
  [ 90 116 162]
  ...
  [ 49  61  89]
  [ 53  64  86]
  [ 56  66  84]]

 [[ 93 119 165]
  [ 90 116 162]
  [ 87 113 159]
  ...
  [ 49  61  85]
  [ 51  62  82]
  [ 58  68  86]]

 [[ 84 110 156]
  [ 91 117 163]
  [ 88 114 160]
  ...
  [ 49  63  82]
  [ 52  64  82]
  [ 55  65  82]]]",126.91202731092437,1.0,241.0,132.0,149.0
59,Garo H,"[[[ 85 111 148]
  [ 70 102 138]
  [ 74 109 143]
  ...
  [ 62 100 130]
  [ 80 113 139]
  [ 47  74 100]]

 [[ 87 113 149]
  [ 88 116 151]
  [ 80 111 144]
  ...
  [ 66 104 134]
  [ 75 108 134]
  [ 53  80 107]]

 [[109 134 166]
  [104 132 163]
  [114 140 170]
  ...
  [ 67 106 138]
  [ 64  96 125]
  [ 52  81 108]]

 ...

 [[ 59  72 116]
  [ 65  87 128]
  [ 78 101 133]
  ...
  [113 152 161]
  [128 164 174]
  [118 154 164]]

 [[118 138 185]
  [ 64  88 130]
  [ 69  91 127]
  ...
  [107 146 155]
  [115 151 161]
  [108 143 153]]

 [[ 42  67 109]
  [ 38  60 101]
  [ 80  99 136]
  ...
  [125 161 171]
  [117 152 162]
  [114 146 157]]]",140.04953336615307,1.0,255.0,145.0,147.0
61,Gary C,"[[[109 143 196]
  [108 142 195]
  [116 150 203]
  ...
  [135 165 222]
  [134 164 221]
  [126 158 211]]

 [[107 141 194]
  [106 140 193]
  [114 148 201]
  ...
  [138 168 225]
  [138 168 225]
  [129 160 215]]

 [[101 134 183]
  [110 144 190]
  [120 156 202]
  ...
  [138 168 223]
  [133 163 218]
  [130 167 219]]

 ...

 [[141 171 228]
  [146 176 233]
  [140 170 227]
  ...
  [122 150 197]
  [112 140 181]
  [108 129 161]]

 [[141 171 228]
  [147 177 234]
  [141 171 228]
  ...
  [116 145 190]
  [110 138 179]
  [ 97 117 148]]

 [[142 172 229]
  [148 178 235]
  [144 174 231]
  ...
  [109 138 182]
  [110 139 178]
  [ 77  98 125]]]",164.1502313990744,21.0,244.0,171.0,177.0
62,Greg Creed,"[[[117 136 197]
  [122 141 202]
  [126 144 205]
  ...
  [102 144 215]
  [100 142 213]
  [ 94 140 211]]

 [[115 134 195]
  [123 142 203]
  [129 147 208]
  ...
  [106 146 218]
  [102 144 215]
  [ 97 141 212]]

 [[123 142 203]
  [126 145 206]
  [128 146 207]
  ...
  [104 144 216]
  [106 145 219]
  [105 148 221]]

 ...

 [[133 136 191]
  [129 132 187]
  [126 130 188]
  ...
  [125 134 191]
  [128 140 194]
  [129 143 196]]

 [[129 134 189]
  [126 131 186]
  [127 131 189]
  ...
  [129 138 195]
  [131 143 197]
  [132 146 199]]

 [[127 132 187]
  [124 129 184]
  [126 130 188]
  ...
  [130 141 198]
  [133 145 199]
  [132 146 199]]]",136.1587771203156,2.0,197.0,146.0,178.0
63,Guillaume Faury,"[[[151 154 185]
  [149 152 183]
  [149 152 183]
  ...
  [122 133 191]
  [119 131 189]
  [113 128 184]]

 [[151 153 184]
  [149 151 182]
  [148 151 182]
  ...
  [118 130 188]
  [116 128 186]
  [111 126 182]]

 [[150 152 183]
  [147 149 180]
  [145 148 179]
  ...
  [115 127 185]
  [111 126 182]
  [108 123 179]]

 ...

 [[119 121 145]
  [121 123 147]
  [118 122 147]
  ...
  [141 146 177]
  [137 142 173]
  [131 135 164]]

 [[121 122 148]
  [119 123 148]
  [118 122 147]
  ...
  [140 145 176]
  [137 142 173]
  [133 137 166]]

 [[119 123 148]
  [116 120 145]
  [115 119 144]
  ...
  [139 144 175]
  [136 141 172]
  [135 139 168]]]",140.91306140328274,5.0,248.0,148.0,156.0
64,Gunupati Venkata Krishna Reddy,"[[[ 68  88 113]
  [ 73  94 121]
  [ 78 100 128]
  ...
  [128 169 218]
  [105 146 195]
  [111 152 201]]

 [[ 65  85 110]
  [ 74  95 122]
  [ 79 101 129]
  ...
  [133 174 223]
  [105 146 195]
  [112 152 204]]

 [[ 68  88 113]
  [ 80 101 128]
  [ 86 108 136]
  ...
  [131 172 221]
  [100 141 190]
  [118 158 210]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [109 147 201]
  [120 157 209]
  [108 146 200]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [120 156 204]
  [120 154 200]
  [ 81 120 172]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 90 124 170]
  [111 144 189]
  [ 92 129 179]]]",135.11206245278268,1.0,255.0,139.0,188.0
65,H,"[[[127 148 199]
  [126 148 200]
  [125 146 201]
  ...
  [ 73 108 176]
  [ 71 108 176]
  [ 65 104 173]]

 [[124 147 197]
  [122 146 198]
  [121 145 197]
  ...
  [ 73 108 176]
  [ 70 107 175]
  [ 66 103 171]]

 [[122 145 195]
  [119 143 195]
  [119 143 195]
  ...
  [ 73 108 174]
  [ 70 108 173]
  [ 65 102 170]]

 ...

 [[125 139 192]
  [126 140 193]
  [122 136 189]
  ...
  [ 97 114 170]
  [ 92 113 165]
  [ 86 108 160]]

 [[127 141 194]
  [128 142 195]
  [124 138 191]
  ...
  [ 94 109 165]
  [ 90 108 161]
  [ 79 101 153]]

 [[128 142 195]
  [130 144 197]
  [128 142 195]
  ...
  [ 88 103 159]
  [ 84 102 155]
  [ 75  98 148]]]",133.32878698224852,3.0,244.0,143.0,163.0
66,Hans Vestberg,"[[[ 97 123 170]
  [ 98 123 173]
  [ 98 125 176]
  ...
  [124 148 220]
  [129 152 220]
  [127 152 216]]

 [[101 127 173]
  [100 126 173]
  [101 127 181]
  ...
  [126 151 221]
  [132 157 221]
  [125 151 218]]

 [[101 127 173]
  [ 99 125 172]
  [102 129 180]
  ...
  [120 144 216]
  [134 161 225]
  [118 147 216]]

 ...

 [[115 141 195]
  [111 135 189]
  [114 138 190]
  ...
  [141 162 223]
  [128 149 217]
  [136 159 221]]

 [[117 143 197]
  [114 138 192]
  [108 132 184]
  ...
  [140 160 225]
  [134 157 219]
  [126 151 213]]

 [[118 143 199]
  [116 141 197]
  [109 133 185]
  ...
  [138 156 221]
  [137 159 217]
  [121 143 208]]]",180.5596064814815,27.0,249.0,186.0,192.0
67,Harald KrÃ¼ger,"[[[  2   7  28]
  [ 11  17  40]
  [  9  13  37]
  ...
  [ 32  42  66]
  [ 19  27  50]
  [ 25  34  54]]

 [[  5  10  35]
  [  0   7  32]
  [  7  14  39]
  ...
  [ 39  49  73]
  [ 14  22  45]
  [ 20  29  49]]

 [[ 34  42  71]
  [ 28  36  65]
  [ 18  28  58]
  ...
  [ 35  45  69]
  [ 29  37  60]
  [ 20  29  49]]

 ...

 [[ 48  77 146]
  [ 58  90 163]
  [ 65 100 174]
  ...
  [ 55 112 174]
  [ 48 106 172]
  [ 37  95 161]]

 [[ 42  67 137]
  [ 40  67 141]
  [ 58  87 162]
  ...
  [ 47 105 170]
  [ 42 102 168]
  [ 34  92 158]]

 [[ 41  62 130]
  [ 33  55 127]
  [ 43  66 142]
  ...
  [ 40 100 166]
  [ 33  93 159]
  [ 24  82 148]]]",82.88444444444444,7.0,151.0,94.0,113.0
68,Herbert Diess,"[[[183 159 191]
  [189 165 195]
  [179 155 185]
  ...
  [217 187 216]
  [218 188 217]
  [219 189 218]]

 [[189 165 195]
  [189 166 194]
  [189 167 192]
  ...
  [219 188 217]
  [219 188 217]
  [221 190 219]]

 [[182 158 188]
  [182 159 187]
  [183 161 186]
  ...
  [217 186 215]
  [217 186 215]
  [219 188 217]]

 ...

 [[100 109 207]
  [109 120 218]
  [100 112 213]
  ...
  [ 82  78 174]
  [ 97  89 184]
  [ 95  83 179]]

 [[114 126 222]
  [104 118 214]
  [103 117 213]
  ...
  [ 91  84 175]
  [ 94  85 175]
  [ 94  82 172]]

 [[106 117 215]
  [106 120 216]
  [106 120 216]
  ...
  [ 94  88 177]
  [ 97  89 176]
  [112 103 190]]]",126.50071017655227,3.0,220.0,130.0,140.0
69,Herbert Fisk Johnson III,"[[[138 152 170]
  [139 153 171]
  [139 153 171]
  ...
  [172 188 211]
  [174 187 209]
  [175 188 210]]

 [[138 152 170]
  [138 152 170]
  [137 151 169]
  ...
  [174 190 213]
  [175 188 210]
  [176 189 211]]

 [[139 153 171]
  [140 154 172]
  [139 153 171]
  ...
  [177 193 216]
  [177 190 212]
  [178 191 213]]

 ...

 [[ 64  83  98]
  [ 70  89 104]
  [ 76  94 111]
  ...
  [130 158 192]
  [135 164 195]
  [136 165 196]]

 [[ 61  80  95]
  [ 66  85 100]
  [ 72  90 107]
  ...
  [130 158 192]
  [130 159 190]
  [133 162 193]]

 [[ 61  79  96]
  [ 65  83 100]
  [ 68  85 104]
  ...
  [133 161 195]
  [131 160 191]
  [134 163 194]]]",149.4769323367207,1.0,254.0,161.0,200.0
70,Ho Ching,"[[[ 77 104 154]
  [ 77 104 154]
  [ 79 106 156]
  ...
  [149 170 215]
  [152 175 220]
  [156 179 224]]

 [[105 134 185]
  [102 133 184]
  [107 138 189]
  ...
  [142 163 208]
  [145 168 213]
  [149 172 217]]

 [[105 137 190]
  [103 135 188]
  [106 140 193]
  ...
  [138 159 204]
  [141 164 209]
  [146 169 214]]

 ...

 [[ 57  66 110]
  [ 68  77 121]
  [ 66  73 116]
  ...
  [155 172 211]
  [157 176 214]
  [160 179 217]]

 [[ 57  68 112]
  [ 67  78 122]
  [ 64  73 116]
  ...
  [155 172 211]
  [157 176 214]
  [159 178 216]]

 [[ 59  70 114]
  [ 68  79 123]
  [ 65  74 117]
  ...
  [155 172 211]
  [157 176 214]
  [159 178 216]]]",148.47583912037038,18.0,240.0,154.0,181.0
