,name,face_image,mean,minimum,maximum,median,mode
11,Ann Sarnoff,"[[[ 91 118 162]
  [ 99 126 170]
  [103 129 175]
  ...
  [ 99 122 154]
  [ 95 118 150]
  [ 92 115 147]]

 [[ 96 121 165]
  [103 128 172]
  [108 137 181]
  ...
  [ 94 119 153]
  [ 94 119 151]
  [ 99 123 153]]

 [[108 131 176]
  [106 130 176]
  [106 138 181]
  ...
  [ 94 117 149]
  [ 93 116 148]
  [ 91 113 141]]

 ...

 [[139 177 209]
  [143 179 209]
  [151 185 214]
  ...
  [ 84 106 141]
  [ 91 114 146]
  [ 98 118 149]]

 [[139 177 209]
  [141 176 210]
  [145 180 213]
  ...
  [ 84 104 139]
  [ 93 115 143]
  [104 125 152]]

 [[138 176 208]
  [142 177 211]
  [144 179 213]
  ...
  [ 81 105 133]
  [ 96 119 145]
  [104 127 153]]]",157.29392408937863,3.0,247.0,172.0,193.0
12,Arvind Krishna,"[[[110 131 169]
  [110 131 169]
  [103 127 163]
  ...
  [ 77 105 136]
  [ 74 102 133]
  [ 67  95 125]]

 [[107 128 166]
  [108 129 167]
  [110 134 170]
  ...
  [ 83 111 142]
  [ 80 108 139]
  [ 74 102 132]]

 [[108 129 167]
  [103 124 162]
  [106 130 166]
  ...
  [ 80 108 139]
  [ 80 108 139]
  [ 78 106 136]]

 ...

 [[129 172 163]
  [128 172 159]
  [130 175 156]
  ...
  [ 52  56  61]
  [ 46  48  56]
  [ 36  39  44]]

 [[131 174 163]
  [132 175 162]
  [138 183 164]
  ...
  [ 56  61  64]
  [ 41  44  49]
  [ 31  34  39]]

 [[135 177 166]
  [135 178 165]
  [132 176 159]
  ...
  [ 47  52  55]
  [ 48  48  54]
  [ 54  55  59]]]",112.26310775796372,16.0,219.0,116.0,119.0
13,Ben van Beurden,"[[[195 208 234]
  [193 206 232]
  [188 202 230]
  ...
  [162 181 216]
  [165 184 219]
  [151 170 205]]

 [[201 214 240]
  [191 204 230]
  [187 201 229]
  ...
  [170 189 224]
  [168 187 222]
  [161 179 216]]

 [[196 209 235]
  [195 208 234]
  [185 199 227]
  ...
  [165 184 219]
  [165 184 219]
  [176 194 231]]

 ...

 [[228 233 234]
  [230 237 240]
  [220 231 235]
  ...
  [147 163 199]
  [165 181 217]
  [154 169 202]]

 [[228 233 234]
  [230 238 238]
  [223 232 235]
  ...
  [147 163 199]
  [161 177 213]
  [156 171 204]]

 [[229 233 234]
  [230 235 236]
  [227 235 234]
  ...
  [164 180 216]
  [152 168 204]
  [154 169 202]]]",170.52628159091685,8.0,243.0,179.0,201.0
14,Bill Hilf,"[[[ 59  83 119]
  [ 60  86 122]
  [ 55  81 121]
  ...
  [162 183 221]
  [163 184 222]
  [162 183 221]]

 [[ 54  76 112]
  [ 54  78 114]
  [ 65  90 130]
  ...
  [161 182 220]
  [162 183 221]
  [161 182 220]]

 [[ 59  79 114]
  [ 54  76 112]
  [ 70  92 133]
  ...
  [160 181 219]
  [162 183 221]
  [162 183 221]]

 ...

 [[ 50  60  84]
  [ 47  57  81]
  [ 55  67  91]
  ...
  [ 96 115 152]
  [141 160 197]
  [116 134 171]]

 [[ 57  68  90]
  [ 57  68  90]
  [ 50  62  86]
  ...
  [125 144 181]
  [137 155 192]
  [109 125 161]]

 [[ 56  67  89]
  [ 44  55  77]
  [ 56  68  92]
  ...
  [130 148 185]
  [136 155 190]
  [110 125 158]]]",170.36903431353656,1.0,246.0,192.0,221.0
15,Bill Stromberg,"[[[ 72 106 166]
  [ 77 111 171]
  [ 83 117 176]
  ...
  [137 169 234]
  [144 176 241]
  [132 164 230]]

 [[ 77 111 171]
  [ 81 115 174]
  [ 84 118 177]
  ...
  [133 168 232]
  [141 173 238]
  [127 159 225]]

 [[ 84 116 175]
  [ 89 121 180]
  [ 83 117 176]
  ...
  [140 175 241]
  [142 176 242]
  [132 166 232]]

 ...

 [[ 55  82 132]
  [ 60  89 140]
  [ 64  94 149]
  ...
  [114 145 196]
  [118 149 200]
  [126 154 208]]

 [[ 55  81 128]
  [ 58  85 136]
  [ 61  88 144]
  ...
  [115 145 194]
  [121 151 200]
  [127 156 207]]

 [[ 51  77 124]
  [ 54  81 131]
  [ 57  85 139]
  ...
  [116 146 195]
  [117 144 194]
  [120 147 198]]]",151.39039862166183,1.0,225.0,161.0,197.0
16,Bob Chapek,"[[[142 199 208]
  [142 199 208]
  [142 199 208]
  ...
  [139 194 203]
  [138 193 202]
  [137 192 201]]

 [[142 199 208]
  [142 199 208]
  [142 199 208]
  ...
  [139 194 203]
  [139 194 203]
  [138 193 202]]

 [[142 199 208]
  [142 199 208]
  [142 199 208]
  ...
  [139 194 203]
  [139 194 203]
  [138 193 202]]

 ...

 [[179 185 220]
  [186 188 222]
  [187 189 220]
  ...
  [178 206 240]
  [177 205 239]
  [176 204 238]]

 [[177 183 220]
  [183 185 220]
  [187 189 220]
  ...
  [180 207 241]
  [179 206 240]
  [176 204 238]]

 [[173 178 217]
  [175 178 216]
  [183 185 219]
  ...
  [180 207 241]
  [179 206 240]
  [177 204 238]]]",198.0732620995526,13.0,233.0,198.0,201.0
17,Bob Dudley,"[[[169 185 228]
  [163 179 222]
  [164 180 223]
  ...
  [114 149 199]
  [112 148 196]
  [112 145 194]]

 [[167 183 226]
  [164 180 223]
  [169 185 228]
  ...
  [112 147 197]
  [110 146 194]
  [110 143 192]]

 [[168 185 228]
  [171 188 231]
  [174 191 234]
  ...
  [111 146 196]
  [110 143 192]
  [108 141 190]]

 ...

 [[136 153 204]
  [137 154 205]
  [140 159 210]
  ...
  [ 86 113 177]
  [ 84 112 173]
  [ 86 114 174]]

 [[136 153 202]
  [137 157 205]
  [138 157 208]
  ...
  [ 82 109 173]
  [ 92 120 181]
  [ 98 126 186]]

 [[137 154 203]
  [132 152 200]
  [133 152 203]
  ...
  [ 81 108 172]
  [ 86 114 175]
  [ 89 117 177]]]",155.5060553633218,5.0,227.0,160.0,169.0
18,Brian Cornell,"[[[ 30  21  78]
  [ 34  23  79]
  [ 32  21  77]
  ...
  [ 35  19  42]
  [ 27  14  30]
  [ 28  18  24]]

 [[ 33  24  81]
  [ 33  24  81]
  [ 27  18  75]
  ...
  [ 38  23  50]
  [ 28  16  36]
  [ 25  17  24]]

 [[ 30  21  78]
  [ 30  21  78]
  [ 27  18  75]
  ...
  [ 36  21  52]
  [ 24  12  34]
  [ 25  15  27]]

 ...

 [[ 31  15 102]
  [ 31  16 100]
  [ 36  22 104]
  ...
  [ 50  37  83]
  [ 51  37  85]
  [ 40  28  78]]

 [[ 32  19 103]
  [ 28  16  98]
  [ 34  21 101]
  ...
  [ 49  36  82]
  [ 52  38  86]
  [ 41  28  80]]

 [[ 39  27 109]
  [ 33  21 103]
  [ 38  25 103]
  ...
  [ 47  34  80]
  [ 48  36  84]
  [ 44  31  83]]]",48.61078238001315,19.0,86.0,47.0,45.0
19,Brian Humphries,"[[[117 140 208]
  [122 145 213]
  [130 153 221]
  ...
  [125 148 204]
  [119 142 198]
  [114 137 193]]

 [[115 138 206]
  [122 145 213]
  [133 156 224]
  ...
  [116 139 195]
  [116 139 195]
  [115 138 194]]

 [[115 138 206]
  [120 143 211]
  [131 154 222]
  ...
  [112 135 191]
  [120 143 199]
  [126 149 205]]

 ...

 [[105 125 183]
  [108 128 186]
  [116 136 194]
  ...
  [109 136 200]
  [114 141 205]
  [128 155 219]]

 [[100 120 178]
  [104 124 182]
  [115 135 193]
  ...
  [101 128 192]
  [117 144 208]
  [135 162 226]]

 [[102 122 180]
  [104 124 182]
  [113 133 191]
  ...
  [116 143 207]
  [123 150 214]
  [126 153 217]]]",162.99283961504543,1.0,255.0,173.0,193.0
21,Brian Moynihan,"[[[ 94 113 118]
  [ 77  93 100]
  [ 66  80  86]
  ...
  [ 26  28  29]
  [ 22  21  23]
  [ 20  22  22]]

 [[ 76  93  96]
  [ 63  77  83]
  [ 55  67  71]
  ...
  [ 38  40  41]
  [ 33  33  33]
  [ 32  34  34]]

 [[ 66  78  82]
  [ 61  73  77]
  [ 61  70  73]
  ...
  [ 52  54  54]
  [ 45  45  45]
  [ 47  47  47]]

 ...

 [[ 95 109 115]
  [ 96 110 116]
  [ 92 108 115]
  ...
  [ 93 108 110]
  [ 85 100 102]
  [ 88 101 103]]

 [[ 92 108 115]
  [ 91 107 114]
  [ 87 105 112]
  ...
  [ 87 102 104]
  [ 87 100 102]
  [ 81  93  95]]

 [[ 90 107 116]
  [ 86 103 112]
  [ 82  99 108]
  ...
  [ 82  95  97]
  [ 73  86  88]
  [ 73  85  87]]]",103.10807291666667,22.0,227.0,104.0,114.0
