Company,Executive,Title,Since
Morgan Stanley,James%20P.%20Gorman,Chairman and CEO[89],2010
Mossy Oak,Toxey%20Haas,Founder and CEO[90],1986
Mozilla Corporation,Chris%20Beard,CEO[91],2014
National Amusements,Sumner%20Redstone,Chairman and CEO[92],1967
NBCUniversal,Jeff%20Shell,CEO[93],2020
News Corp,Robert%20James%20Thomson,CEO[94],2013
New York Times Company,Mark%20Thompson,President and CEO[95],2012
NIIT,Vijay%20K.%20Thadani,Vice chairman and MD[96],1981
Nike,Mark%20Parker,Chairman and CEO[97],2006
Nokia,Rajeev%20Suri,President and CEO[98],2014
Novartis,Vasant%20Narasimhan,CEO,2017
Nintendo,Tatsumi%20Kimishima,Representative director and president[99],2015
Oath Inc.,Tim%20Armstrong,CEO[100],2009
Oracle Corporation,Safra%20Catz,CEO[101],2014
Oracle Corporation,Mark%20Hurd,CEO[101],2014
PepsiCo,Ramon%20Laguarta,CEO[102],2018
Pfizer,Ian%20Read,Chairman and CEO[104],2010
Polo Ralph Lauren,Patrice%20Louvet,President and CEO[105],2017
Procter & Gamble,David%20S.%20Taylor,President and CEO[106],2015
"Prudential Financial, Inc.",John%20Strangfeld,Chairman and CEO[107],2008
Qantas,Alan%20Joyce,CEO and MD[108],2008
Reliance Group,Anil%20Ambani,Chairman[109],2006
Reliance Industries Limited,Mukesh%20Ambani,Chairman and MD[110],2002
Renault,Luca%20de%20Meo,CEO[111],2005
Riovic,Phiwa%20Nkambule,CEO,2015
Royal Bank of Canada,David%20I.%20McKay,President and CEO[112],2014
Royal Bank of Scotland,Ross%20McEwan,CEO[113],2013
Royal Dutch Shell,Ben%20van%20Beurden,CEO[114],2014
Ryanair,Michael%20O'Leary,CEO[115],1994
S&P Global,Douglas%20L.%20Peterson,President & CEO,2013
S. C. Johnson & Son,Herbert%20Fisk%20Johnson%20III,Chairman and CEO[116],2004
The Salvation Army,Brian%20Peddle,General and CEO [117],2018
Samsung,Oh-Hyun%20Kwon,Chairman and CEO[118],2012
SAP AG,Christian%20Klein,CEO[119],2019
SAS Institute,James%20Goodnight,CEO[120],1976
Schneider Electric,Jean-Pascal%20Tricoire,Chairman and CEO[121],2006
Siemens,Joe%20Kaeser,President and CEO[122],2013
Simon Property Group,David%20Simon,Chairman and CEO[123],1995
Singtel,Chua%20Sock%20Koong,Group CEO[124],2007
SoftBank,Masayoshi%20Son,Chairman and CEO[125],1981
Solera Holdings,Tony%20Aquila,Chairman and CEO[126],2005
Southwest Airlines,Gary%20C.%20Kelly,Chairman and CEO[127],2008
Sonic Corporation,J.%20Clifford%20Hudson,"Chairman, CEO and president[128]",1995
Starbucks,Kevin%20Johnson,President and CEO[129],2017
Sun Hung Kai Properties,Raymond%20Kwok,Chairman and MD[130],2011
Sun Pharmaceutical,Dilip%20Shanghvi,MD[131],1983
SunTrust Banks,William%20H.%20Rogers%20Jr.,Chairman and CEO[132],2011
Syntel,Rakesh%20Khanna,CEO and president[133],2016
Target Corporation,Brian%20Cornell,Chairman and CEO[134],2014
Tata Consultancy Services,Rajesh%20Gopinathan,CEO and MD[135],2016
TCL Corporation,Li%20Dongsheng,CEO & Founder[136],1981
Telstra,Andy%20Penn,CEO[137],2015
Temasek Holdings,Ho%20Ching,CEO[138],2002
Tesco,Dave%20Lewis,Group CEO[140],2014
"Tesla, Inc.",Elon%20Musk,CEO[141],2008
Time Warner,Jeffrey%20L.%20Bewkes,Chairman and CEO[142],2008
Tod's,Diego%20Della%20Valle,MD,1970
The Travelers Companies,Alan%20D.%20Schnitzer,Chairman and CEO[143],2015
Toyota,Akio%20Toyoda,President and director[144],2009
T. Rowe Price,Bill%20Stromberg,President and CEO[145],2016
Twitter,Jack%20Dorsey,CEO[146],2006
United Airlines,Oscar%20Munoz,CEO[147],2015
UBS,Sergio%20Ermotti,Group CEO[148],2011
Valeant Pharmaceuticals,Joseph%20C.%20Papa,Chairman and CEO[149],2016
Verizon Communications,Hans%20Vestberg,Chairman and CEO[150],2018
ViacomCBS,Robert%20Bakish,President and CEO[151],2019
Vodafone,Vittorio%20Colao,CEO[152],2008
Volkswagen Group,Herbert%20Diess,Chairman of the Management Board/CEO[153],2018
Vulcan Inc.,Bill%20Hilf,CEO[154],2016
The Walt Disney Company,Bob%20Chapek,CEO[155],2020
Walgreens Boots Alliance,Stefano%20Pessina,Executive vice chairman and CEO[156],2015
Wal-Mart,Doug%20McMillon,President and CEO[157],2014
Warner Bros.,Ann%20Sarnoff,Chairwoman and CEO[158],2019
Wells Fargo,Timothy%20J.%20Sloan,CEO and president[159],2016
Whole Foods Market,John%20Mackey,CEO[160],1980
"Williams-Sonoma, Inc.",Laura%20J.%20Alber,President and CEO[161],2010
Wipro Technologies Limited,Abidali%20Neemuchwala,CEO[162],2016
WWE,Vince%20McMahon,Chairman and CEO[163],2009
Yum! Brands,Greg%20Creed,CEO[164],2015
Zillow Group,Rich%20Barton,CEO[165],2019
